Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 15, New Orleans, Louisiana",15-RC-335788,"SP Plus Corporation",Closed,02/15/2024,03/22/2024,"Certific. of Representative","St. Rose",LA,A,"Single Labor Organization",Initial,03/14/2024,64,2,"Amalgamated Transit Union, Division No. 1535",39,,,,,12,51,,1,,"Amalgamated Transit Union, Division No. 1535","Included: All full-time and regular part-time operators, hostlers, mechanics, and customer service representatives employed at or out of 141 I-310 Service Road, St. Rose, LA 70087.

Excluded: All office clericals, guards, professional employees and supervisors as defined in the Act.
",,,
"Region 05, Baltimore, Maryland",05-RC-333659,"Mary's Center for Maternal and Child Care, Inc.",Closed,01/16/2024,03/25/2024,"Certific. of Representative",Washington,DC,A,"Single Labor Organization",Initial,03/13/2024,145,2,"1199SEIU United Healthcare Workers East a/w Service Employees International Union, SOC, CLC",93,,,,,22,137,,2,,"1199SEIU United Healthcare Workers East a/w Service Employees International Union, SOC, CLC","Included: All full-time, regular part-time and per diem medical and mental health professional providers including doctors, nurse practitioners, midwives, mental health therapists, psychiatrists, psychiatric nurse practitioners, physician assistants, physicians, dentists and registered nurses employed by the Employer at its Maryland and Washington, DC health centers and/or working remotely within its health centers and school based mental health program.  

Excluded: All other employees, non-professional employees, managerial employees, confidential employees, guards, and supervisors as defined in the National Labor Relations Act.
",,,
"Region 01, Boston, Massachusetts",01-RC-333964,"North Shore Medical Center, Inc. d/b/a Salem Hospital and North Shore Physician Group, Inc.",Closed,01/22/2024,03/21/2024,"Certific. of Representative",Salem,MA,A,"Single Labor Organization",Initial,03/13/2024,112,1,"American Federation of State, County & Municipal Employees, Council 93",72,,,,,16,88,,1,,"American Federation of State, County & Municipal Employees, Council 93","Included:  All full time, regular part-time and per diem physicians employed by North Shore Physicians Group and regularly working at least 50% of their working time at Salem Hospital, 81 Highland Avenue, Salem MA.
 
Excluded:  Chief Medical Officer, Associate Chief Medical Officer, Department Chairs, Division Chiefs, President of the Medical Staff, Director of Residency Program, all physicians who work less than 50% of their time at Salem Hospital as described above, all business office clerical employees, office clerical employees, registered nurses, all other professionals, technical employees, non-professional employees, confidential employees, managerial employees, and guards and supervisors as defined by the National Labor Relations Act.",,,
"Region 07, Detroit, Michigan",07-RC-335404,"Syncreon America, Inc. aka DP World",Closed,02/08/2024,03/22/2024,"Certific. of Representative",Trenton,MI,A,"Single Labor Organization",Initial,03/13/2024,121,,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO",56,,,,,26,82,,1,,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO","Included:  All hourly full-time and regular part-time warehouse employees employed by the Employer at its facility located at 2000 Van Horn, Trenton, Michigan.

Excluded:  All temporary employees, office clerical employees, professional employees, and guards and supervisors as defined in the Act.
",,,
"Region 08, Cleveland, Ohio",08-RC-335481,"Hollander Management Group, LLC d/b/a Bloom Medicinals",Closed,02/09/2024,03/21/2024,"Certific. of Representative",Akron,OH,A,"Single Labor Organization",Initial,03/13/2024,19,,"United Food and Commercial Workers Union Local 880",11,,,,,4,15,,2,,"United Food and Commercial Workers Union Local 880","All full-time and regular part-time Dispensary Agents, Lead Agents, and Inventory Agents employed 
by the Employer at its 737 E North St., Akron, Ohio 44305 facility, but excluding Store Manager, 
Assistant Manager, office clerical employees, confidential  employees,  professional  employees,  
managers,  guards,  and supervisors as defined in the Act.

Others permitted to vote: The parties have agreed that individuals in the classification of 
De-escalation Agent may vote in the election, but their ballots will be challenged since their 
eligibility has not been resolved. No decision has been made regarding whether the individuals in 
this classification or group are included in, or excluded from, the bargaining unit. The 
eligibility or inclusion of these
individuals will be resolved, if necessary, following the election.

",,,
"Region 19, Seattle, Washington",19-RC-335464,"Woodland Park Zoological Society",Closed,02/09/2024,03/21/2024,"Certific. of Representative",Seattle,WA,A,"Single Labor Organization",Initial,03/13/2024,31,,"Teamsters Local  Union 117, affiliated with the International Brotherhood of Teamsters",29,,,,,,29,,,,"Teamsters Local  Union 117, affiliated with the International Brotherhood of Teamsters","All full-time and regular part-time ticketing and membership associates, seasonal/temporary1 ticketing and membership associates who work beyond a specific event (e.g. WildLanterns), lead ticketing and membership associates, guest services associates employed by the Employer at its facility in Seattle, Washington; excluding all other employees, seasonal/temporary ticketing and membership associates hired only for a single event and not retained beyond the event, managers, and guards and supervisors as defined in the Act.
",,,
"Region 07, Detroit, Michigan",07-RC-336169,"ADT LLC",Closed,02/14/2024,03/22/2024,"Certification of Results","Madison Heights",MI,A,"Single Labor Organization",Initial,03/13/2024,12,,"Communications Workers of America (CWA) AFL-CIO, CLC",5,,,,,7,12,,,,"Communications Workers of America (CWA) AFL-CIO, CLC","Kentwood facility

Included:  All full-time and regular part-time tech engineers, install technicians, service technicians, and coordinators employed by the Employer at its Kentwood facility.

Excluded:  All office clerical employees, confidential employees, managerial employees, professional employes and guards and supervisors as defined in the Act, and all other employees.

Lansing facility

Included:  All full-time and regular part-time tech engineers, install technicians, service technicians, and coordinators employed by the Employer at its Lansing facility.

Excluded:  All office clerical employees, confidential employees, managerial employees, professional employes, guards and supervisors as defined in the Act, and all other employees.

",,,
"Region 02, New York, New York",02-RC-335752,"Rockland Pulmonary and Medical Associates, and Good Samaritan Hospital Community Medical Care, as joint employers",Closed,02/14/2024,03/26/2024,"Certific. of Representative","West Nyack",NY,A,"Single Labor Organization",Initial,03/13/2024,62,,"1199SEIU United Healthcare Workers East",34,,,,,15,49,,1,,"1199SEIU United Healthcare Workers East","INCLUDED: All full-time and regular part-time, including per diem*, non-professional employees jointly employed by Rockland Pulmonary and Medical Associates and Bon Secours Charity Health System Medical Group P.C. at their health care centers in West Nyack (2 Crossfield Avenue Suite 318), Suffern (257 Lafayette Avenue, Suite 340), Orangeburg (60 Dutch Hill Road), and Stony Point (27 Liberty Square Mall), including employees in the following job titles: Billing Clerk, Billing Coordinator, Front Desk Supervisor, Medical Assistant, Patient Services Rep, Respiratory Therapist, Scheduling Supervisor, Sleep Coordinator, Sleep Tech, Sleep Test Reader, Sr. Billing Clerk, Sr. Medical Assistant, Sr. Medical Records Clerk, Sr. Patient Services Rep, Sr. Respiratory Therapist

EXCLUDED: All professional employees, confidential employees, guards, managerial and supervisory employees as defined in the Act. 
 
Inasmuch as the parties cannot agree whether the Respiratory Supervisor title should be included in or excluded from the bargaining unit, the individual(s) in that classification may vote subject to challenge. 
 
*Per Diem employees are eligible if they worked an average of four or more hours per week during the thirteen-week period immediately preceding February 10, 2024, per Davison-Paxon, 185 NLRB 21 (1970). 
",,,
"Region 32, Oakland, California",32-RC-335954,"TAT Fresno II, LLC dba The Artist Tree",Closed,02/16/2024,03/21/2024,"Certification of Results",Fresno,CA,A,"Single Labor Organization",Initial,03/13/2024,75,,"United Food and Commercial Workers Union Local 8 - Golden State",21,,,,,37,58,,,,,"All full-time and regular part-time guides, fulfillment, hosts, inventory leads, supervisors, product coordinators, and delivery drivers employed by the Employer at its facility located at 7835 North Palm Ave.#103, Fresno, CA 93711; excluding confidential employees, office clerical employees, guards, and supervisors as defined by the Act.",,,
"Region 04, Philadelphia, Pennsylvania",04-RM-336147,"Nationalities Service Center of Philadelphia",Closed,02/20/2024,03/21/2024,"Certific. of Representative",Philadelphia,PA,A,"Single Labor Organization",Initial,03/13/2024,96,,"Nationalities Service Center Staff Union, a unit of the National Organization of Legal Services Workers, United Automobile, Aerospace and Agricultural Implement Workers of America, Local Union 2320, AFL-CIO",61,,,,,14,75,,9,,"Nationalities Service Center Staff Union, a unit of the National Organization of Legal Services Workers, United Automobile, Aerospace and Agricultural Implement Workers of America, Local Union 2320, AFL-CIO","VOTING GROUP¬–UNIT A (PROFESSIONAL UNIT)
Included: All full-time, regular part-time, temporary, and lead Non-Senior Staff Attorneys employed by the Employer physically or remotely from its 1216 Arch Street, 4th Floor, Philadelphia, Pennsylvania and 6434-36 Castor Avenue, Philadelphia, Pennsylvania facilities.

Excluded: All other employees, Case Managers, Case Aids, Career Coaches, Job Developers, Receptionists, Administrative Assistants, Housing Coordinators, Youth Wellness Coordinators, Refugee Health Coordinators,  English Language Coordinators, Health Access Coordinators, Food Access and In-Kind Coordinators, USP Coordinators, Volunteer Coordinators, YCRP Coordinators, Fellows, Specialists, Interpreters, Wellness Liaisons, Project Managers, Instructors, Liaisons, DOJ Accredited Representatives, Legal Assistants, Navigators, Advancement Counselors, Executive Director, Deputy Director, Associate Director of Survivor Services Program, Associate Director of Wellness, Trauma-Informed Practice, and Community Culture, Benefits Manager, Director of Education and Economic Opportunity, Director of Finance and Accounting, Director of Legal Services, Director of Strategic Initiatives, INSPIRE Manager, Manager of Wellness Services, Manager of Youth Services, Newcomer Supports Program Manager, Refugee Services Manager, Resettlement Manager, Senior Director of Program Ops and Strategic Growth, Senior Director of  Business Operations & Process Improvement, Senior Manager of Data and Quality, Senior Manager of Economic Self-Sufficiency, Senior Manager of Economic Opportunity, Senior Manager of Education Initiatives, Senior Manager of Health Specialized Services, Senior Project Manager, Supervising Attorney, Therapists, Development & Communications Associates, Family Literacy Program Coordinator, Matching Grant Coordinator, Employment Readiness & Placement Coordinator, Employment Team Coordinator, Refugee Career Pathways Coordinator, Refugee Upskilling Initiative Coordinator Coordinator, Survivor Services Coordinator, Vocational ESL Coordinator, Finance & Accounting Coordinator, confidential employees, guards, and supervisors as defined by the Act.
Others permitted to vote: The parties have agreed that Senior Staff Attorneys may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.

VOTING GROUP¬–UNIT B (NON-PROFESSIONAL UNIT)

Included: All full-time, regular part-time, temporary, and lead Case Managers, Case Aids, Career Coaches, Job Developers, Receptionists, Administrative Assistants, Housing Coordinators, Youth Wellness Coordinators, Refugee Health Coordinators,  English Language Coordinators, Health Access Coordinators, Food Access and In-Kind Coordinators, USP Coordinators, Volunteer Coordinators, YCRP Coordinators, Fellows, Specialists, Interpreters, Wellness Liaisons, Project Managers, Instructors, Liaisons, DOJ Accredited Representatives, Legal Assistants, Navigators, and Advancement Counselors employed by the Employer physically or remotely from its 1216 Arch Street, 4th Floor, Philadelphia, Pennsylvania and 6434-36 Castor Avenue, Philadelphia, Pennsylvania facilities.

Excluded: All other employees, Non-Senior Staff Attorneys, Senior Staff Attorneys, Executive Director, Deputy Director, Associate Director of Survivor Services Program, Associate Director of Wellness, Trauma-Informed Practice, and Community Culture, Benefits Manager, Director of Education and Economic Opportunity, Director of Finance and Accounting, Director of Legal Services, Director of Strategic Initiatives, INSPIRE Manager, Manager of Wellness Services, Manager of Youth Services, Newcomer Supports Program Manager, Refugee Services Manager, Resettlement Manager, Senior Director of Program Ops and Strategic Growth, Senior Director of  Business Operations & Process Improvement, Senior Manager of Data and Quality, Senior Manager of Economic Self-Sufficiency, Senior Manager of Economic Opportunity, Senior Manager of Education Initiatives, Senior Manager of Health Specialized Services, Senior Project Manager, Supervising Attorney, Therapists, confidential employees, guards, and supervisors as defined by the Act.
Others permitted to vote: The parties have agreed that Development & Communications Associates and the following Coordinators may vote in the election, but their ballots will be challenged since their eligibility has not been resolved: Family Literacy Program, Matching Grant, Employment Readiness & Placement, Employment Team, Refugee Career Pathways, Refugee Upskilling Initiative Coordinator, Survivor Services, Vocational ESL, and Finance & Accounting. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.
",,,
"Region 03, Buffalo, New York",03-RC-336315,"Stavo Industries, Inc.",Closed,02/22/2024,04/23/2024,"Certification of Results",Kingston,NY,A,"Single Labor Organization",Initial,03/13/2024,47,,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",20,,,,,18,38,,3,Y,," All full-time and regular part-time production and maintenance
employees employed by the Employer at its Kingston, New York facilities excluding all office clerical employees, confidential employees, guards, professional employees and supervisors as defined in the Act, and all other employees.",,,
"Region 01, Boston, Massachusetts",01-RC-333174,"THE BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM, INC.",Closed,01/09/2024,03/21/2024,"Certific. of Representative",Boston,MA,A,"Single Labor Organization",Initial,03/13/2024,250,1,"1199SEIU UNITED HEALTHCARE WORKERS EAST",92,,,,,42,134,,,,"1199SEIU UNITED HEALTHCARE WORKERS EAST","Included: All full-time, regular part-time and per diem non-professional employees employed by the Boston Health Care for the Homeless Program, Inc. 

Excluded: All confidential employees, managers, guards, and professional employees and supervisors as defined in the Act.
",,,
"Region 19, Seattle, Washington",19-RC-315337,"Grow Op Farms, LLC",Closed,04/03/2023,03/20/2024,"Certific. of Representative","Spokane Valley",WA,A,"Revised Single Labor Org",Initial,03/12/2024,16,,"United Food and Commercial Workers Local 3000",8,,,,,6,14,,,,"United Food and Commercial Workers Local 3000","All full-time and regular part-time sales administrative assistants, sales service representatives, sales service supervisors, VMI order representatives and VMI team leads employed by the Employer at its Spokane Valley, Washington facility; but excluding all other employees, production employees, drivers, account managers, inventory assistants, and guards and supervisors as defined in the Act.",,,
"Region 18, Minneapolis, Minnesota",18-RD-334577,"American Materials LLC",Closed,01/29/2024,03/19/2024,"Certification of Results","Eau Claire",WI,A,"Single Labor Organization",Initial,03/12/2024,21,1,"General Teamsters Union Local 662",9,,,,,11,20,,,,,"Included: All truck drivers, washers and helpers.

Excluded: Office clerical, professional and managerial employees, salespersons, operators, guards and supervisors as defined by the Act, and all other employees historically excluded from the unit.",,,
"Region 20, San Francisco, California",20-RC-334669,"Sierra Medical Services Alliance (SEMSA)",Closed,01/29/2024,04/23/2024,"Certification of Results",Susanville,CA,A,"Single Labor Organization",Initial,03/12/2024,29,,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION, AFL-CIO, CLC",5,,,,,4,9,,1,Y,,"All full time and regular per diem ground paramedics (“medics”) and EMTs employed by the Employer in the following California facilities in the SEMSA North Division: 1545 Paul Bunyan Road #A, Susanville; 1545 Paul Bunyan Road #D, Susanville; 212 Greenwood Street, Westwood; and 463-390 Main Street, Janesville; excluding all registered nurses, air medics, professional employees, clerical employees, confidential employees, guards, and supervisors as defined by the Act.",,,
"Region 02, New York, New York",02-RC-335165,"School of American Ballet, Inc.",Closed,02/06/2024,03/22/2024,"Certific. of Representative",Manhattan,NY,A,"Single Labor Organization",Initial,03/12/2024,20,,"American Guild of Musical Artists",13,,,,,3,18,,2,,"American Guild of Musical Artists","INCLUDED: All faculty who teach ballet located at the Employer’s facility at 70 Lincoln
Center Plaza New York, NY
EXCLUDED: All other employees, including temporary, office clerical employees,
directors, guards and supervisors as defined in the Act",,,
"Region 31, Los Angeles, California",31-RC-335703,"Tarzana Medical Center, LLC d/b/a Providence Cedars-Sinai Medical Center",Closed,02/13/2024,03/21/2024,"Certific. of Representative",Tarzana,CA,A,"Single Labor Organization",Initial,03/12/2024,5,,"National Union of Healthcare Workers",3,,,,,2,5,,,,"National Union of Healthcare Workers","Included: All full-time, regular part-time and per diem Service employees, including Supply Chain Technician and Lead Distribution Technician currently located at 18324 Oxnard St. #1 Tarzana, CA 91356 and 18321 Clark St., Tarzana, CA 91356.

Excluded: All other employees, registry employees, travelers, subcontracted employees, employees of outside registries and other agencies supplying labor to the Hospital, physicians, residents, managerial employees, confidential employees, guards, and supervisors as defined in the National Labor Relations Act.",,,
"Region 25, Indianapolis, Indiana",25-RC-335886,"Sea of Glass, Inc. d/b/a Fish Window Cleaning",Closed,02/15/2024,03/20/2024,"Certific. of Representative",Mishawaka,IN,A,"Single Labor Organization",Initial,03/12/2024,6,,"United Food & Commercial Workers, Local 700",4,,,,,2,6,,,,"United Food & Commercial Workers, Local 700","Included:  All full-time and regular part-time Drivers, Cleaners, and Lead Cleaners employed by the Employer at its Mishawaka, Indiana location.

Excluded: All office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the National Labor Relations Act, and all other employees.",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-335905,"Stonebridge Health and Rehabilitation Center, LLC",Closed,02/16/2024,03/20/2024,"Certific. of Representative",Duncannon,PA,A,"Single Labor Organization",Initial,03/12/2024,13,,"American Federation of State, County and Municipal Employees, District Council 88, AFL-CIO",9,,,,,3,12,,,,"American Federation of State, County and Municipal Employees, District Council 88, AFL-CIO","Included: All full-time, regular part-time, and per diem Licensed Practical Nurses employed by the Employer at its 102 Chandra Drive, Duncannon, PA facility. 

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

Excluded: All other employees, confidential employees, managerial employees, guards and supervisors as defined in the Act.
",,,
"Region 13, Chicago, Illinois",13-RC-335966,"WCCC Homewood, LLC",Closed,02/16/2024,03/22/2024,"Certific. of Representative",Posen,IL,A,"Single Labor Organization",Initial,03/12/2024,8,,"Local 881 United Food & Commercial Workers",4,,,,,,4,,,,"Local 881 United Food & Commercial Workers","Included: All full-time and regular part-time Lead Dispensary Associates employed by the Employer at its facility currently located at 2535 Veterans Drive, Posen, Illinois.  
Excluded: All other employees, office clerical employees, confidential employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",,,
"Region 09, Cincinnati, Ohio",09-RM-335986,"UNION OIL & GAS, INC.",Closed,02/16/2024,03/22/2024,"Certification of Results",Winfield,WV,A,"Single Labor Organization",Initial,03/12/2024,4,,"United Steelworkers of America, Local Union No. 628-04",,,,,,4,4,,,,,"All full-time and regular part-time production and maintenance employees employed by the Employer at its facility located at 85 Ferry Street, Winfield, West Virginia; excluding all office clerical employees, managers, guards, and supervisors as defined in the Act.",,,
"Region 09, Cincinnati, Ohio",09-RM-335986,"UNION OIL & GAS, INC.",Closed,02/16/2024,03/22/2024,"Certification of Results",Winfield,WV,A,"Single Labor Organization",Initial,03/12/2024,4,,"United Steelworkers of America, Local Union No. 628-04",,,,,,4,4,,,,,"All full-time and regular part-time production and maintenance employees employed by the Employer at its facility located at 85 Ferry Street, Winfield, West Virginia; excluding all office clerical employees, managers, guards, and supervisors as defined in the Act.",,,
"Region 09, Cincinnati, Ohio",09-RM-336026,"TEAVEE OIL & GAS, INC.",Closed,02/16/2024,03/22/2024,"Certification of Results",Winfield,WV,A,"Single Labor Organization",Initial,03/12/2024,2,,"United Steelworkers of America, Local Union No. 628-04",,,,,,2,2,,,,,"All full-time and regular part-time production and maintenance employees employed by the Employer at its facility located at 300 Right Fork of Benedict Road, Culloden, West Virginia; excluding all office clerical employees, managers, guards, and supervisors as defined in the Act.

",,,
"Region 18, Minneapolis, Minnesota",18-RC-336084,"Asplundh Tree Expert, LLC",Closed,02/16/2024,03/19/2024,"Certification of Results","Des Moines",IA,A,"Single Labor Organization",Initial,03/12/2024,16,,"International Brotherhood of Electrical Workers, Local Union No. 55",9,,,,,5,14,,,,"International Brotherhood of Electrical Workers, Local Union No. 55","Included: All full-time and regular part-time ground-persons, tree trimmers, tree trimmer trainees, F1 and F2 forepersons, and work planners employed by the Employer and working out of the Sioux City, Iowa service area on the property of Mid-American Former Iowa Power.

Excluded: All other employees, office clerical employees, professionals, and guards and supervisors as defined in the Act. 
",,,
"Region 25, Indianapolis, Indiana",25-RD-336152,"Ryder Truck Rental, Inc.",Closed,02/20/2024,03/20/2024,"Certification of Results",Davenport,IA,A,"Single Labor Organization",Initial,03/12/2024,14,,"District Lodge 6, International Association of Machinists & Aerospace Workers, AFL-CIO",3,,,,,9,12,,,,,"Included: All full-time and regular part-time technicians and service employees employed by the Employer at its facility located at 430 W. 76th Street, Davenport, IA 52806;

Excluded: all office clerical employees, customer service employees, professional employees, managerial employees, guards and supervisors as defined in the Act, and all other employees.",,,
"Region 29, Brooklyn, New York",14-RC-289926,"Starbucks Corporation",Closed,02/02/2022,03/20/2024,"Certific. of Representative","Overland Park",KS,A,"Single Labor Organization",Rerun,03/11/2024,16,,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",14,,,,,,14,,,,"Chicago and Midwest Regional Joint Board, Workers United/SEIU","Included: All full-time and regular part-time hourly Baristas and Shift Supervisors employed at 10201 W. 75th St., Overland Park, KS 66204 (Store 20346 - often referred to as ""75th and I35"").
Excluded: All Store Managers, office clerical employees, professional employees, guards, and supervisors as defined by the Act, and all other employees.",,,
"Region 31, Los Angeles, California",31-RD-333815,"Phillips 66",Closed,01/18/2024,03/21/2024,"Certific. of Representative",Torrance,CA,A,"Single Labor Organization",Initial,03/11/2024,34,1,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",15,,,,,11,26,,,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","INCLUDED: Employees engaged in field operations within the State of California working in the Pipeline organization in the following classifications: Gaugers, Mechanics, Operators, Utility Persons.

EXCLUDED: All other employees, confidential employees, managerial employees,
guards and supervisors as defined by the Act.",,,
"Region 31, Los Angeles, California",31-RC-334892,"Touchstone Climbing, Inc.",Closed,02/01/2024,04/10/2024,"Certific. of Representative","Los Angeles",CA,A,"Single Labor Organization",Initial,03/11/2024,98,,"Workers United",48,,,,,44,100,,8,Y,,"INCLUDED: All full-time and part-time employees including front desk staff, route setters, safety staff, fitness instructors, yoga instructors, maintenance and janitorial staff, and all other employees who are not managers or supervisors under the Act employed at LA Boulders – 1375 E. 6th St., #8 Los Angeles, CA 90021; Hollywood Boulders – 1107 N. Bronson Ave., Los Angeles, CA 90038; Verdigo Boulders – 266 E. Magnolia Blvd., Burbank, CA 91502; The Post – 1100 N. Fair Oaks Ave., Pasadena, CA 91103; Cliffs of Id – 2537 S. Fairfax Ave., Culver City, CA 90232. 

EXCLUDED: All other employees, managers, and supervisors under the Act, as amended.



















",,,
"Region 02, New York, New York",02-RC-336095,"E. Tetz & Sons, LLC",Closed,02/20/2024,03/18/2024,"Certific. of Representative",Chester,NY,A,"Single Labor Organization",Initial,03/11/2024,6,1,"International Union of Operating Engineers Local 825",4,,,,,,4,,,,"International Union of Operating Engineers Local 825","Included: All full-time and regular part-time Groundspeople, Quarry Site Truck Drivers, Equipment Operators, and Plant Operators regularly employed by the Employer at its location at 66 Tetz Road, Chester, NY 10918.  
Excluded: Plant managers, clerks, office clerical employees, confidential employees, guards, professional employees and supervisors as defined by the Act.",,,
"Region 01, Boston, Massachusetts",01-RC-335489,"Blue Tarp reDevelopment, LLC d/b/a MGM Springfield",Closed,02/09/2024,09/23/2024,"Certific. of Representative",Springfield,MA,A,"Single Labor Organization",Initial,03/09/2024,282,2,"New England Joint Board UNITE HERE",130,,,,,117,247,,9,,"New England Joint Board UNITE HERE","All full-time and regular part-time table games dealer, poker games dealers and poker attendants employed by the Employer at its 1 MGM way, Springfield, Massachusetts facility but excluding, slot attendants, cage workers, security officers, clerical employees, professional employees, managers, and guards, and supervisors as defined in the Act.

Others Permitted to Vote: The parties agree that Dealer Trainees may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.
",,,
"Region 31, Los Angeles, California",31-RM-333945,"The Academy of Magical Arts, Inc.",Closed,01/19/2024,03/21/2024,"Certific. of Representative","Los Angeles",CA,A,"Single Labor Organization",Initial,03/08/2024,6,,"International Brotherhood of Electrical Workers Local 40",3,,,,,,3,,,,"International Brotherhood of Electrical Workers Local 40","INCLUDED: Full-time and part-time stage managers.

EXCLUDED: All other employees, confidential employees, managers, guards, and
supervisors as defined in the Act.",,,
"Region 28, Phoenix, Arizona",28-RC-335327,"Bowtie Hospitality LLC d/b/a Fontainebleau Las Vegas",Closed,02/06/2024,03/26/2024,"Certific. of Representative","Las Vegas",NV,A,"Single Labor Organization",Initial,03/08/2024,60,,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",42,,,,,4,46,,,,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986","INCLUDED:  All full-time and regular part-time and on call Valet leads, Valet Attendants, Booth Attendants, and Self-Parking Garage Attendants employed by the Employer at its Las Vegas, Nevada facility. 

EXCLUDED: All other employees, office clerical employees, professional employees, guards, and supervisors as defined by the act. 
",,,
"Region 13, Chicago, Illinois",13-RC-335295,"Davidson Hotel Company LLC d/b/a Hyatt Centric Chicago Magnificent Mile",Closed,02/07/2024,06/12/2024,"Certification of Results",Chicago,IL,A,"Single Labor Organization",Initial,03/08/2024,41,,"UNITE HERE Local 1",15,,,,,21,36,,3,,,"Included: All full-time and regular part-time employees in the classifications of room attendant, houseperson, and lobby attendant employed by the Employer at its facility currently located at 633 N. St. Clair Street, Chicago, IL.  
Excluded: All housekeeping managers, executive housekeepers, casual employees, office clerical employees, confidential employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",,,
"Region 18, Minneapolis, Minnesota",18-RC-335563,"Division 7 Metals, LLC",Closed,02/09/2024,03/15/2024,"Certific. of Representative",Madison,WI,A,"Single Labor Organization",Initial,03/08/2024,4,,"Sheet Metal, Air, Rail and Transportation Workers, Local 18",3,,,,,,3,,1,,"Sheet Metal, Air, Rail and Transportation Workers, Local 18","All full-time and regular part-time sheet metal workers employed by the Employer at its Madison, Wisconsin facility; excluding all roofers, warehouse workers, guards and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RC-335832,"Shermco Industries, Inc.",Closed,02/14/2024,03/18/2024,"Certific. of Representative",Auburn,WA,A,"Single Labor Organization",Initial,03/08/2024,5,,"International Brotherhood of Electrical Workers, Local 46, affiliated with International Brotherhood of Electrical Workers",4,,,,,1,4,,,,"International Brotherhood of Electrical Workers, Local 46, affiliated with International Brotherhood of Electrical Workers","All full-time and regular part-time journeymen electricians and apprentice electricians employed by the Employer and working at, out of, or reporting to its Auburn, Washington facility; excluding all other employees, managers, and guards and supervisors as defined in the Act.",,,
"Region 04, Philadelphia, Pennsylvania",04-RM-336088,"Troy Mechanical, Inc.",Closed,02/20/2024,03/18/2024,"Certific. of Representative",Moosic,PA,A,"Single Labor Organization",Initial,03/08/2024,4,,"United Association Local Union 524, United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada, AFL-CIO",3,,,,,1,4,,,,"United Association Local Union 524, United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada, AFL-CIO","Included: All full-time and regular-part time HVAC Service Technicians employed by the Employer out of its 100 State Highway, Moosic, PA facility.

Excluded: All other employees including plumbers, pipefitters, shop employees, guards, clericals, managers and supervisors as defined in the Act.",,,
